a52dec 0.7.4-9
aalib 1.4rc5-12
acl 2.2.52-3
adwaita-icon-theme 3.22.0+1+g58cd459e-1
alsa-lib 1.1.3-1
alsa-plugins 1.1.1-1
alsa-tools 1.1.3-1
alsa-utils 1.1.3-2
arch-install-scripts 17-1
archlinux-keyring 20170104-1
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
atkmm 2.24.2+1+gf30b47f-1
attr 2.4.47-2
audiofile 0.3.6-3
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-3
awesome-terminal-fonts 1.0.0-4
awesome-terminal-fonts-patched 1.0.0-1
babl 0.1.24-1
bash 4.4.012-2
bash-completion 2.5-1
bash-git-prompt 2.6.1-1
bc 1.06.95-3
binutils 2.27-1
bison 3.0.4-2
boost-libs 1.63.0-1
bridge-utils 1.6-1
btrfs-progs 4.9.1-1
bullet-train-oh-my-zsh-theme-git v0.0.5.r187.ga385a6f-1
bzip2 1.0.6-6
c-ares 1.12.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.29.1-1
ca-certificates-utils 20160507-1
cairo 1.14.8-1
cairomm 1.12.2-1
cdparanoia 10.2-5
celt 0.11.3-2
chromium 56.0.2924.87-1
cifs-utils 6.5-1
clipit 1.4.3-1
clucene 2.3.3.4-9
cmake 3.7.2-1
colord 1.3.4-1
compositeproto 0.4.2-3
confuse 3.0-1
conky 1.10.6-1
coreutils 8.26-1
cracklib 2.9.6-1
cryptsetup 1.7.3-1
ctags 5.8-5
cups 2.2.2-2
cups-filters 1.13.4-1
curl 7.53.1-1
cython 0.25.2-2
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.16-1
dbus-glib 0.108-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.168-1
dhcpcd 6.11.5-1
diffutils 3.5-1
direnv 2.10.0-1
djvulibre 3.5.27-3
dmenu 4.6-1
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-2
docker 1:17.03.0-1
docker-compose 1.11.2-1
docker-machine 0.10.0-1
dropbox 19.4.13-1
dunst 1.1.0-1
e2fsprogs 1.43.4-1
evince 3.22.1-1
expat 2.2.0-2
expect 5.45-4
f2fs-tools 1.8.0-1
faac 1.28-5
faad2 2.7-4
fakeroot 1.21-2
fasd-git 1.0.1.r7.g90b531a-1
feh 2.18.2-1
ffmpeg 1:3.2.4-1
fftw 3.3.6-1
file 5.30-1
filesystem 2016.12-2
findutils 4.6.0-2
firefox 51.0.1-1
fish 2.5.0-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flex 2.6.3-1
fontconfig 2.12.1-4
fontsproto 2.1.3-1
foomatic-db-engine 4:4.0.12-3
freetype2 2.7.1-1
fribidi 0.19.7-1
fuse-common 3.0.0-1
fuse2 2.9.7-3
gamin 0.1.10-8
gawk 4.1.4-2
gc 7.6.0-1
gcc 6.3.1-1
gcc-libs 6.3.1-1
gconf 3.2.6-5
gcr 3.20.0+11+g8322f27-1
gd 2.2.3-3
gdbm 1.12-2
gdk-pixbuf2 2.36.5-1
gegl02 0.2.0-7
geoclue2 2.4.5-1
gettext 0.19.8.1-2
ghostscript 9.20-4
giflib 5.1.4-1
gimp 2.8.20-1
git 2.12.0-1
gksu 2.0.2-5
glew 2.0.0-1
glib-networking 2.50.0-1
glib2 2.50.3-1
glib2-docs 2.50.3-1
glibc 2.24-2
glibmm 2.50.0-1
glu 9.0.0-4
gmime 2.6.23-1
gmp 6.1.2-1
gnome-desktop 1:3.22.2-1
gnupg 2.1.19-1
gnutls 3.5.9-1
go 2:1.8-1
gobject-introspection 1.50.0+1+gb8d92b0-2
gobject-introspection-runtime 1.50.0+1+gb8d92b0-2
goobook-git 1.9.4.gbd5845f-1
gperf 3.1-1
gpgme 1.7.1-2
gpm 1.20.7-7
graphite 1:1.3.9-1
grep 3.0-1
groff 1.22.3-7
groovy 2.4.8-1
grub 1:2.02.rc1-1
gsettings-desktop-schemas 3.22.0+1+g6f52ab5-1
gsfonts 20160531-3
gsm 1.0.16-1
gst-plugins-base-libs 1.10.4-1
gstreamer 1.10.4-1
gstreamer0.10 0.10.36-16
gstreamer0.10-bad 0.10.23-36
gstreamer0.10-bad-plugins 0.10.23-36
gstreamer0.10-base 0.10.36-9
gstreamer0.10-base-plugins 0.10.36-9
gstreamer0.10-ffmpeg 0.10.13-9
gstreamer0.10-good 0.10.31-27
gstreamer0.10-good-plugins 0.10.31-27
gstreamer0.10-ugly 0.10.19-27
gstreamer0.10-ugly-plugins 0.10.19-27
gtk-doc 1.25+33+g567353f-1
